0,md5,,,网站名称,刊登频道名称,尺寸规范,区域,地域定向,频次控制,投放周期,特殊要求,版位定价(千人成本),总广告曝光(000'),总价,单位点击数,预估总广告点击数字 ,预计CTR,预计CPC,Nov.2018,,,,,,,,,,,Dec.2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan.2019,,,,,,,,,
1,md5,,,Site,Channel,Video Length,Region,Geographical Direction,Frequency,Period,Specific Direction,Net Cost (CPM),Total Imp (000'),Total Net Cost,Unit Clicks,Ested Total Clicks ,Ested CTR,Ested CPC,2018-11-20,2018-11-21,2018-11-22,2018-11-23,2018-11-24,2018-11-25,2018-11-26,2018-11-27,2018-11-28,2018-11-29,2018-11-30,2018-12-1,2018-12-2,2018-12-3,2018-12-4,2018-12-5,2018-12-6,2018-12-7,2018-12-8,2018-12-9,2018-12-10,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-15,2018-12-16,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-22,2018-12-23,2018-12-24,2018-12-25,2018-12-26,2018-12-27,2018-12-28,2018-12-29,2018-12-30,2018-12-31,2019-1-1,2019-1-2,2019-1-3,2019-1-4,2019-1-5,2019-1-6,2019-1-7,2019-1-8,2019-1-9,2019-1-10
2,,0,1,IQIYI&PPS VIDEO-PD,视频播放页,15s Preroll (PC),SCCL,Jiangsu(excluding Wuxi\Suzhou\Changshu\Nantong),3 Per Week,200,定向电影、电视剧、综艺、音乐、娱乐、动漫、片花、游戏 返还比200%,57.2,1,57.2,7,7,0.0079,8.17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,,0,1,IQIYI&PPS VIDEO-PD,视频播放页,15s Preroll (PC),SCCL,Jiangsu(excluding Wuxi\Suzhou\Changshu\Nantong),3 Per Week,200,定向电影、电视剧、综艺、音乐、娱乐、动漫、片花、游戏 返还比120%,57.2,1,57.2,7,7,0.0079,8.17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,,0,1,IQIYI&PPS VIDEO-PD,视频播放页,15s Preroll (PC),SCCL,Fujian,3 Per Week,200,定向电影、电视剧、综艺、音乐、娱乐、动漫、片花、游戏 返还比200%,57.2,1,57.2,7,7,0.0079,8.17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,,0,1,IQIYI&PPS VIDEO-PD,视频播放页,15s Preroll (PC),SCCL,Fujian,3 Per Week,200,定向电影、电视剧、综艺、音乐、娱乐、动漫、片花、游戏 返还比120%,57.2,1,57.2,7,7,0.0079,8.17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,,0,1,IQIYI&PPS VIDEO-PD,视频播放页,15s Preroll (PC),CBL,Tianjin,3 Per Week,200,定向电影、电视剧、综艺、音乐、娱乐、动漫、片花、游戏 返还比120%,57.2,1,57.2,7,7,0.0079,8.17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,,0,1,IQIYI&PPS VIDEO-PD,视频播放页,15s Preroll (PC),CBL,Tianjin,3 Per Week,200,定向电影、电视剧、综艺、音乐、娱乐、动漫、片花、游戏 返还比200%,57.2,1,57.2,7,7,0.0079,8.17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,,,,99999,,,,,,,,打包价Package:,6,0,,504,0.084,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,3088.8,2,IQIYI&PPS VIDEO-PD,视频播放页,15s Preroll (Mobile),SCCL,Jiangsu(excluding Wuxi\Suzhou\Changshu\Nantong),3 Per Week,2018.11.20-2019.01.10,定向电影、电视剧、综艺、音乐、娱乐、动漫、片花、游戏 返还比200%,57.2,9,514.8,8,73,0.0082,7.05,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,,3088.8,2,IQIYI&PPS VIDEO-PD,视频播放页,15s Preroll (Mobile),SCCL,Jiangsu(excluding Wuxi\Suzhou\Changshu\Nantong),3 Per Week,2018.11.20-2019.01.10,定向电影、电视剧、综艺、音乐、娱乐、动漫、片花、游戏 返还比120%,57.2,9,514.8,8,73,0.0082,7.05,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
